,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
63481,LAX07CA285,Non-Fatal,Substantial,Airplane,Piper,PA-32R-301T,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63483,CHI07CA315,Non-Fatal,Substantial,Airplane,Aerotechnik,Sportstar-Evektor,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
63487,DFW08CA006,Non-Fatal,Substantial,Airplane,Vans Aircraft,RV6,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63492,SEA08CA004,Non-Fatal,Substantial,Airplane,Piper,PA 28-151,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63493,NYC08CA002,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63494,CHI08CA002,Non-Fatal,Substantial,Airplane,Piper,PA28-161,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63495,NYC08LA001,Fatal(1),Destroyed,Airplane,Lambert John G,Varieze,Yes,1.0,Reciprocating,1.0,0.0,0.0,0.0
63497,NYC08CA003,Non-Fatal,Substantial,Airplane,Cessna,170A,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63498,DFW08LA001,Non-Fatal,Substantial,Airplane,Indus,T211 Thorpedo,No,1.0,Reciprocating,0.0,1.0,1.0,0.0
63499,DEN08CA002,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63500,CHI08CA013,Non-Fatal,Substantial,Airplane,Cessna,182,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63501,CHI08CA005,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63502,CHI08CA004,Non-Fatal,Substantial,Airplane,Progressive Aerodyne,Searey,Yes,1.0,Reciprocating,0.0,1.0,0.0,0.0
63505,DEN08FA003,Fatal(3),Destroyed,Airplane,Raytheon Aircraft Company,C90A,No,2.0,Turbo Prop,3.0,0.0,0.0,0.0
63506,NYC08LA004,Non-Fatal,Substantial,Airplane,Cirrus Design,SR22,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63507,MIA08FA003,Fatal(1),Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63508,LAX08FA002,Fatal(1),Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63509,CHI08CA015,Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
63510,CHI08CA001,Non-Fatal,Substantial,Airplane,Dusenberry,1905 Wright Flyer,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63512,MIA08LA002,Fatal(1),Substantial,Airplane,Bellanca,7GCAA,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63516,DFW08CA008,Non-Fatal,Substantial,Airplane,Cub Crafters,CC11-100,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63517,DFW08CA003,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,2.0,2.0
63518,CHI08CA010,Non-Fatal,Substantial,Airplane,Beech,N35,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63522,NYC08LA009,Non-Fatal,Substantial,Airplane,Cessna,170A,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63523,NYC08CA006,Non-Fatal,Substantial,Airplane,Beech,G35,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63524,LAX08CA017,Non-Fatal,Substantial,Airplane,Cessna,182P,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63525,LAX08CA006,Non-Fatal,Substantial,Airplane,Aviat,A-1,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63526,DFW08CA005,Non-Fatal,Substantial,Airplane,Stinson,108-2,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
63527,CHI08CA012,Non-Fatal,Substantial,Airplane,Cessna,210C,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63528,CHI08CA009,Non-Fatal,Substantial,Airplane,Cessna,Turbo Centurion T210,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63530,ANC08CA002,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2,No,1.0,Reciprocating,0.0,0.0,1.0,2.0
63531,ANC08CA001,Non-Fatal,Substantial,Airplane,Rittal,Glastar,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63532,NYC08LA008,Fatal(1),Destroyed,Airplane,Beech,D55,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
63534,LAX08MA007,Fatal(10),Destroyed,Airplane,Cessna,208B,No,1.0,Turbo Prop,10.0,0.0,0.0,0.0
63535,DFW08FA004,Fatal(2),Destroyed,Airplane,Cessna,150L,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
63537,NYC08CA010,Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63540,CHI08CA007,Non-Fatal,Substantial,Airplane,Krueger,Quickie,Yes,1.0,Reciprocating,0.0,1.0,0.0,0.0
63547,CHI08IA026,Incident,Minor,Airplane,Airbus Industrie,A320-232,No,2.0,Turbo Fan,0.0,0.0,2.0,125.0
63549,SEA08CA009,Non-Fatal,Substantial,Airplane,Piper,PA-22/20,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63550,NYC08CA011,Non-Fatal,Substantial,Airplane,Slagle,Thorp T-18,Yes,1.0,Reciprocating,0.0,0.0,0.0,2.0
63552,LAX08LA009,Non-Fatal,Substantial,Airplane,Cessna,172L,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63553,DFW08CA014,Non-Fatal,Substantial,Airplane,Air Tractor,402B,No,1.0,Turbo Prop,0.0,0.0,0.0,1.0
63559,LAX08CA010,Non-Fatal,Substantial,Airplane,Cessna,172R,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63561,DFW08CA009,Non-Fatal,Substantial,Airplane,Air Tractor,AT-602,No,1.0,Turbo Prop,0.0,0.0,0.0,1.0
63562,DFW08CA007,Non-Fatal,Substantial,Airplane,Cessna,172R,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63566,DFW08CA011,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63568,LAX08CA012,Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63572,CHI08CA036,Non-Fatal,Substantial,Airplane,Piper,PA-30,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
63575,SEA08CA010,Non-Fatal,Substantial,Airplane,Welch,RV-9,Yes,1.0,Reciprocating,0.0,0.0,0.0,2.0
63576,LAX08CA011,Non-Fatal,Substantial,Airplane,Maule,M-5-235-C,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63582,LAX08CA013,Non-Fatal,Substantial,Airplane,Poser,DM 582 Buckeye,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
